,time,op,price,usd,btc,taxa (USD)
78,2019-10-08,sell,8200.23,44.5272489,0.00543,0.03116907423
79,2019-10-08,buy,8124.73,29.249028,0.0036,0.0204743196
80,2019-10-08,buy,8172.0,14.95476,0.00183,0.010468332
81,2019-10-07,sell,8145.83,14.9883272,0.00184,0.01049182904
82,2019-10-07,sell,8100.0,32.4,0.004,0.02268
83,2019-10-06,buy,8000.0,32.0,0.004,0.0224
84,2019-10-04,sell,8176.38,32.70552,0.004,0.022893864
85,2019-10-04,buy,8153.98,32.615919999999996,0.004,0.022831144
86,2019-10-03,sell,8175.71,22.074417,0.0027,0.0154520919
87,2019-10-03,sell,8175.71,8.17571,0.001,0.005722997
88,2019-10-03,buy,8139.93,29.7921438,0.00366,0.02085450066
89,2019-10-03,buy,8139.93,0.08139930000000001,1e-05,5.697951e-05
90,2019-10-03,buy,8139.93,0.08139930000000001,1e-05,5.697951e-05
91,2019-10-03,buy,8139.93,0.08139930000000001,1e-05,5.697951e-05
92,2019-10-03,buy,8139.93,0.08139930000000001,1e-05,5.697951e-05
93,2019-10-01,buy,8294.76,9.953712,0.0012,0.0069675984
94,2019-10-01,sell,8241.16,29.9978224,0.00364,0.02099847568
95,2019-10-01,buy,8400.05,9.9960595,0.00119,0.00699724165
96,2019-10-01,buy,8454.69,9.976534200000001,0.00118,0.00698357394
97,2019-10-01,buy,8469.7,6.606366,0.00078,0.0046244562
98,2019-10-01,buy,8469.7,0.8469700000000001,0.0001,0.000592879
99,2019-10-01,buy,8469.7,0.8469700000000001,0.0001,0.000592879
